"","statistic","auc.train","cbi.train","auc.val","auc.diff","cbi.val","or.10p"
"1","emp.mean",0.787967379679144,0.95,0.778245460204201,0.0278713853186809,0.8415,0.0928102149650888
"2","emp.sd",NA,NA,0.0255193993795715,0.011438898675516,0.064737933238558,0.0266017674594288
"3","null.mean",0.546233547593583,0.584507,0.538547628579199,0.108855204172058,0.15225,0.152950941044954
"4","null.sd",0.0145144726069819,0.230160791493558,0.0372942192650594,0.0257748821578162,0.204865678462908,0.0429230847720548
"5","zscore",16.6546755525434,1.58798984669911,6.4272114110074,-3.14196659978982,3.36439956742092,-1.40112777073795
"6","pvalue",1.39928879697123e-62,0.056144317532981,6.49830068026023e-11,0.000839085891886126,0.000383551987989333,0.0805879342483614
