"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","ncoef"
"1","Q","0.5","fc.Q_rm.0.5",0.537723529411765,0.651,0.0659725247608474,0.0289593761804681,0.485677025588339,0.0342278005135249,0.072,0.28270950933187,0.213311158758957,0.0638601899716865,0.0385237414554584,0.0134667253165854,4
"2","Q","0.5","fc.Q_rm.0.5",0.549528877005348,0.729,0.131467622145318,0.0817814760578987,0.496454556920353,0.154369579008684,0.253,0.592429461342586,0.236844154892151,0.172873379590163,0.0313307493540052,0.0249273661260656,6
"3","Q","0.5","fc.Q_rm.0.5",0.545212299465241,0.518,0.224493758086158,0.0492016399175416,0.325132973386064,0.038842860417452,-0.6985,0.154295171667813,0.314177983030036,0.100562399851023,0.0203923616838016,0.0152956950526695,6
"4","Q","0.5","fc.Q_rm.0.5",0.558889839572193,0.489,0.0975277640931528,0.0858208271165335,0.609316187181172,0.140015786917301,0.3525,0.607841262172946,0.0549759928161709,0.054825221912695,0.0164522513607125,0.0205661590096067,6
"5","Q","0.5","fc.Q_rm.0.5",0.541520320855615,0.63,0.129814365439586,0.0794309543749745,0.487042228939846,0.15601708054236,-0.0255,0.838911000444425,0.214190811296205,0.154938330328793,0.0116279069767442,0.0232558139534884,6
"6","Q","0.5","fc.Q_rm.0.5",0.53718449197861,0.249,0.113137393617015,0.0840995704028561,0.441214697550258,0.09199662557322,-0.07,0.528625891660003,0.207194824710906,0.102172429386761,0.0203923616838016,0.0152956950526695,4
"7","Q","0.5","fc.Q_rm.0.5",0.543851871657754,0.386,0.112490796800131,0.0560014080016507,0.573538932537271,0.142655034397512,0.3405,0.703453149352061,0.150713801381788,0.182087442575294,0.0231481481481481,0.0462962962962963,6
"8","Q","0.5","fc.Q_rm.0.5",0.542255080213904,0.516,0.0804413824828722,0.0244681506925276,0.529283653127135,0.0895321652741853,-0.0745,0.593051712191554,0.217642989352539,0.139906895725219,0.0501516484322026,0.0620831218265628,5
"9","Q","0.5","fc.Q_rm.0.5",0.538412299465241,0.429,0.0924803762227952,0.0633421799063459,0.452074098400078,0.0546753039429406,-0.305,0.476422081772035,0.219319827001668,0.0930396878483474,0,0,5
"10","Q","0.5","fc.Q_rm.0.5",0.550485026737968,0.123,0.0662331280792109,0.0715012836144511,0.622836732753258,0.0725247354432955,0.5565,0.459241766393258,0.0855118478201111,0.0632557243322667,0.0164522513607125,0.0205661590096067,6
"11","Q","0.5","fc.Q_rm.0.5",0.551436363636364,0.862,0.0566525741814105,0.0390963305855173,0.514849204663396,0.0579571525930398,0.06225,0.467409438643823,0.149763135228251,0.119972176461961,0.00925925925925926,0.0185185185185185,6
"12","Q","0.5","fc.Q_rm.0.5",0.569649732620321,0.636,0.159489852985601,0.0547814415738347,0.415368979065293,0.0639342811399428,-0.37125,0.323867642718441,0.248174262832848,0.105236372046376,0.0370393277988528,0.047305599942152,6
"13","Q","0.5","fc.Q_rm.0.5",0.540477540106952,0.306,0.0424553651505152,0.029227711924562,0.585503372678074,0.0361821928168448,0.39875,0.157408968401846,0.147591493026921,0.0479577001596026,0.0245271867612293,0.0288147086128816,5
"14","Q","0.5","fc.Q_rm.0.5",0.548945989304813,0.563,0.132444842001628,0.0588962632290361,0.648392942211607,0.126265671487226,0.522,0.568006455362378,0.0564604064727766,0.0422341540413883,0.00581395348837209,0.0116279069767442,5
"15","Q","0.5","fc.Q_rm.0.5",0.544557219251337,0.307,0.14207664936171,0.0747166461242883,0.402857142948622,0.0863291958267508,-0.5365,0.397022669377959,0.228171330657724,0.0766234143012129,0,0,5
"16","Q","0.5","fc.Q_rm.0.5",0.54158449197861,0.687,0.0674510705287471,0.0542424741789446,0.616700690399857,0.0562926789568944,0.7525,0.069423819159325,0.0426585665328862,0.0318039127572729,0,0,4
"17","Q","0.5","fc.Q_rm.0.5",0.570728877005348,0.967,0.0655839115199308,0.0608715964068881,0.518836403001585,0.0728845628883214,-0.219,0.388812722699931,0.184736195869298,0.06324754195411,0.065224861179834,0.0216093024820629,6
"18","Q","0.5","fc.Q_rm.0.5",0.553308021390374,0.721,0.0687987721624345,0.0567865449170703,0.631044384376546,0.0548101537162337,0.72875,0.0822491134703996,0.0641298770319057,0.0870323276935198,0.00531914893617021,0.0106382978723404,6
"19","Q","0.5","fc.Q_rm.0.5",0.547280748663102,0.697,0.202853581331009,0.0299607102280135,0.755317689436026,0.0344057893597657,0.7625,0.0274893918933589,0.0255167958656331,0.0228302287429875,0.00581395348837209,0.0116279069767442,6
"20","Q","0.5","fc.Q_rm.0.5",0.526072192513369,0.76,0.0998768943827557,0.0813259906815242,0.634955355749961,0.0863516860034853,0.45275,0.457850321247749,0.0782318067696593,0.062634687859954,0.0106382978723404,0.0212765957446809,6
"21","Q","0.5","fc.Q_rm.0.5",0.534869518716578,0.733,0.0589406229152076,0.0689048657370086,0.591529372602617,0.0878533150416618,0.67525,0.146322417967993,0.0927025491597486,0.0519112077936773,0.0264010299265124,0.0268945634182866,5
"22","Q","0.5","fc.Q_rm.0.5",0.518571657754011,0.671,0.154454237341947,0.0856150327741765,0.687927576209557,0.078839920999978,0.759,0.0909102121142981,0.0640405373210915,0.058773476584195,0.00581395348837209,0.0116279069767442,5
