"","statistic","auc.train","cbi.train","auc.val","auc.diff","cbi.val","or.10p"
"1","emp.mean",0.891668518518518,0.969,0.890138787287292,0.0116335465150563,0.85325,0.0818713450292398
"2","emp.sd",NA,NA,0.0113063108891705,0.00671949336886822,0.0624786630245345,0.0546504708338253
"3","null.mean",0.565071642592593,0.707323,0.526600900511725,0.156077610831262,0.07379325,0.142479696995757
"4","null.sd",0.0181317033093967,0.195716712885494,0.0495703593617439,0.0342780953176888,0.190833681059286,0.0800177745556951
"5","zscore",18.0124762882409,1.33701918523993,7.33377549520306,-4.21388828572593,4.08448207713315,-0.757436110952225
"6","pvalue",7.77566389835113e-73,0.0906081872524801,1.11878906729829e-13,1.25505738356105e-05,2.20876178830293e-05,0.224394314335266
