"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","P","1.5","fc.P_rm.1.5",0.915338686131387,0.944,0.0131782177796295,0.00302709821534038,0.908852919987334,0.0102090170516881,0.823,0.136274233318947,0.0839496617360394,0.0537520773026789,0.00657894736842105,0.0131578947368421,2875.98270497314,159.075968861865,2.85765265930561e-35,12
"2","L","2","fc.L_rm.2",0.885605839416058,0.982,0.0206329938960059,0.012053931935145,0.881794052882438,0.0205348814230383,0.83975,0.142057206786562,0.0831756679279899,0.0526707309199258,0.0231911478041509,0.0161038033325921,3012.98237440961,324.991732429428,2.64093738628107e-71,8
"3","L","3","fc.L_rm.3",0.880710948905109,0.981,0.0208177942325408,0.0115128472863642,0.876963056767929,0.0205071974726762,0.855,0.153546952645328,0.089754615296411,0.065254861486999,0.0231911478041509,0.0161038033325921,3017.39263136302,352.331093147217,2.93578683684286e-77,7
"4","Q","3","fc.Q_rm.3",0.817221897810219,0.973,0.0229101235737139,0.0135204473776799,0.81156841795185,0.0227541121872367,0.8195,0.132595877261198,0.0905286091044605,0.050129591653383,0.0131578947368421,0.0263157894736842,3139.97074121501,376.550974005901,8.97188092150242e-83,6
"5","L","1.5","fc.L_rm.1.5",0.83506897810219,0.971,0.0249785879744015,0.0133864775722206,0.829512004260018,0.0237828130022869,0.8455,0.156009615088302,0.0905286091044605,0.050129591653383,0.0197368421052632,0.0394736842105263,3064.06961725766,311.465306686143,1.79382229232411e-68,6
"6","Q","2","fc.Q_rm.2",0.817488077858881,0.982,0.0247378980914829,0.0159918048249857,0.812167990581681,0.0256703982365807,0.79625,0.22624378444501,0.0905286091044605,0.0398699752341354,0.0197368421052632,0.0394736842105263,3100.84603264447,371.591113267084,1.14412226454915e-81,7
