"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","H","2.5","fc.H_rm.2.5",0.927915555555556,0.973,0.00818677667961606,0.0103053070431732,0.914384781540584,0.0074501584384359,0.886,0.084545845551393,0.084551656920078,0.0630616339807294,0.00657894736842105,0.0131578947368421,2849.34125129339,118.64068210362,1.53585092971933e-26,32
"2","LQ","0.5","fc.LQ_rm.0.5",0.891668518518518,0.969,0.0116335465150563,0.00671949336886822,0.890138787287292,0.0113063108891705,0.85325,0.0624786630245345,0.0818713450292398,0.0546504708338253,0.00657894736842105,0.0131578947368421,3074.18610755443,347.306658622219,3.27678825994531e-76,11
"3","H","3.5","fc.H_rm.3.5",0.922367654320988,0.978,0.00848313738927073,0.00687171955000971,0.906864752786332,0.00722351146744884,0.891,0.0703704483430367,0.084551656920078,0.0630616339807294,0.0131578947368421,0.0263157894736842,2866.40532267853,150.785528703178,1.68749116119079e-33,32
"4","LQP","1.5","fc.LQP_rm.1.5",0.825388148148148,0.959,0.024580075222971,0.0249462052239911,0.818586398649161,0.0277995246854088,0.79975,0.169133822755828,0.0818713450292398,0.0546504708338253,0.00657894736842105,0.0131578947368421,3039.32347580532,251.225989154686,1.1066299600252e-55,13
"5","LQ","1","fc.LQ_rm.1",0.826314814814815,0.95,0.0255892745492171,0.0205263456924458,0.823047730975375,0.0277134125611053,0.85025,0.114738470735262,0.0818713450292398,0.0546504708338253,0.0201023391812865,0.0253329290221688,2957.64554471799,207.271352513586,6.89108357603799e-46,7
"6","LQHP","4.5","fc.LQHP_rm.4.5",0.857477530864198,0.962,0.0129250174888751,0.0161150273497472,0.845681605812739,0.0205944995833366,0.86325,0.0278612634315101,0.0834193326453388,0.0320754761132053,0.00657894736842105,0.0131578947368421,2809.21264725789,64.5028265990331,4.3399995863862e-15,10
