"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","5","fc.L_rm.5",0.808835294117647,0.978,0.00951368061907754,0.00394170252564576,0.80354037043127,0.00802022768456395,0.92225,0.0160078105935821,0.111911286113414,0.0132868362494761,0.00531914893617021,0.0106382978723404,4671.99137241476,246.88479499889,2.45271866684281e-54,7
"2","H","1.5","fc.H_rm.1.5",0.841469786096257,0.993,0.0190836815585728,0.0201061249311157,0.827410585003349,0.0179169156960806,0.9515,0.015545631755148,0.102054614022699,0.0390207885839886,0.0110009671179884,0.0127166209083252,4545.94629280126,146.344082472714,1.66638374025619e-32,41
"3","L","4.5","fc.L_rm.4.5",0.804636363636364,0.978,0.00843416607149647,0.00658466028152706,0.798032322431838,0.00647714426030879,0.91725,0.0287561587606319,0.100006524208652,0.0356754970307658,0.00531914893617021,0.0106382978723404,4664.72124311742,254.827422916482,2.38797375661561e-56,7
"4","Q","1","fc.Q_rm.1",0.740645989304813,0.899,0.0170075307178379,0.0099393836842715,0.727293155648627,0.0103067322462597,0.498,0.398456187470258,0.0774634644315495,0.0532279540893408,0.0206228956228956,0.0240599426396573,4838.21052223232,133.099780938774,1.02149906807188e-29,8
"5","Q","4.5","fc.Q_rm.4.5",0.720773796791444,0.912,0.0170843125211327,0.00740279931823026,0.712948281074928,0.013153138053488,0.71525,0.182346510797438,0.0890618443809933,0.051181633217527,0.0263047138047138,0.0329279545354691,4769.80838313268,63.3794110393492,1.21355612972518e-14,4
"6","Q","2","fc.Q_rm.2",0.72860320855615,0.932,0.0155199662726151,0.0122158041516559,0.714687298942445,0.00689945388309215,0.632,0.25903024276456,0.092041872626979,0.0640093999231407,0.0252525252525253,0.0294492519941682,4766.5088058339,115.37402040625,6.33975493708029e-26,7
