"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","Q","2.5","fc.Q_rm.2.5",0.823121167883212,0.769,0.0220064791515049,0.0207161644503869,0.820390016182924,0.0252871223938594,0.5095,0.137650523670151,0.0962188969154913,0.0822041917962759,0.00925925925925926,0.0185185185185185,3155.37320828658,425.792055088045,3.46051691470395e-93,4
"2","LP","5","fc.LP_rm.5",0.83999197080292,0.91,0.0114344919695231,0.00687523351235014,0.837485358104496,0.00921807648926102,0.77125,0.0363810848289785,0.092406260749914,0.0882187381159459,0.00657894736842105,0.0131578947368421,3113.18974421617,402.238147167621,4.49270167238118e-88,6
"3","LP","5","fc.LP_rm.5",0.835484671532847,0.916,0.0107077659329919,0.005573532534897,0.833080620467598,0.0084169445406293,0.7705,0.0414929712923366,0.0908582731338149,0.046516089000656,0.00657894736842105,0.0131578947368421,3114.98001848743,428.379510711912,7.92117201999895e-94,6
"4","LP","4.5","fc.LP_rm.4.5",0.793452554744526,0.853,0.0205414223033276,0.00820621128875951,0.78943251303692,0.0164504370756256,0.641,0.0213229141222927,0.0815990138745557,0.0496819132844776,0.00657894736842105,0.0131578947368421,3148.70393915717,396.713411713693,7.02826131325177e-87,8
"5","P","3.5","fc.P_rm.3.5",0.803468248175182,0.907,0.0193937553209736,0.0102215117476179,0.800745804249196,0.0186220601631442,0.71525,0.0945564205470293,0.0734720788900355,0.015084430774446,0.00657894736842105,0.0131578947368421,3092.66937265857,365.96774793683,3.39711964424923e-80,6
"6","P","3.5","fc.P_rm.3.5",0.807350851581509,0.905,0.0184905279279516,0.0092375723193385,0.804717526646701,0.0163386207754272,0.733,0.0817394233728947,0.0734720788900355,0.015084430774446,0.00657894736842105,0.0131578947368421,3091.8238770279,352.048655323727,3.5712606934877e-77,6
