"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","Q","1","fc.Q_rm.1",0.787783957219251,0.895,0.0131007780076713,0.00361573514719023,0.783543893096497,0.00949462818929257,0.849,0.0710727326992099,0.0896387891068742,0.0164805846591681,0.0138888888888889,0.0277777777777778,4765.79667076936,330.442469269242,1.21948269615709e-72,5
"2","LQ","1","fc.LQ_rm.1",0.794499732620321,0.966,0.0144693592551715,0.00266790559887338,0.787422037648719,0.0111998528380186,0.90875,0.0288371866404012,0.0893682263363114,0.0306749233018061,0.0138888888888889,0.0277777777777778,4571.20899549212,155.423336846965,1.18163656058358e-34,8
"3","LQ","1","fc.LQ_rm.1",0.785653475935829,0.953,0.0152733184876907,0.00296912281821663,0.778565683406611,0.0123271143151624,0.8835,0.036428011200174,0.0893682263363114,0.0306749233018061,0.0138888888888889,0.0277777777777778,4576.48874679059,153.684086583831,3.09756697199688e-34,7
"4","LQ","5","fc.LQ_rm.5",0.707514438502674,0.824,0.0331340862161944,0.0160254186419785,0.700758755182373,0.0284184632817096,0.66275,0.322625040359031,0.0912679223849437,0.0467781881307045,0.0265752765752766,0.0198306995908591,4928.35404049915,213.295747675484,4.82410648399618e-47,5
"5","H","5","fc.H_rm.5",0.699982085561497,0.954,0.0239763893167111,0.0160852280724041,0.683623264641113,0.0242482824513424,0.653,0.263105808880508,0.101002425470511,0.0287512189364974,0.00925925925925926,0.0185185185185185,4771.20890850399,18.036711076481,0.000121094440879932,13
"6","H","5","fc.H_rm.5",0.703821390374332,0.956,0.0229254191342864,0.0174381808189431,0.688500778551962,0.0245418731752391,0.6735,0.244874797941043,0.101002425470511,0.0287512189364974,0.00925925925925926,0.0185185185185185,4783.26318247598,78.5235915446283,8.8883008510921e-18,18
