"","statistic","auc.train","cbi.train","auc.val","auc.diff","cbi.val","or.10p"
"1","emp.mean",0.83999197080292,0.91,0.837485358104496,0.0114344919695231,0.77125,0.092406260749914
"2","emp.sd",NA,NA,0.00921807648926102,0.00687523351235014,0.0363810848289785,0.0882187381159459
"3","null.mean",0.544729338686131,0.52631419939577,0.520106317037344,0.136795168711915,0.0374835858585859,0.0351497104689829
"4","null.sd",0.0180872702165771,0.247664477707103,0.0506188716829193,0.0273473889953547,0.113430178613421,0.0440114738280395
"5","zscore",16.3243335551087,1.54921611753297,6.26997462636543,-4.58400898029738,6.46888176595534,1.30094598750867
"6","pvalue",0.00000000000000000000000000000000000000000000000000000000000331301676525355,0.0606648881172572,0.000000000180553472518395,0.00000228072316679886,0.0000000000493654036795902,0.90336152829685
