"","statistic","auc.train","cbi.train","auc.val","auc.diff","cbi.val","or.10p"
"1","emp.mean",0.794499732620321,0.966,0.787422037648719,0.0144693592551715,0.90875,0.0893682263363114
"2","emp.sd",NA,NA,0.0111998528380186,0.00266790559887338,0.0288371866404012,0.0306749233018061
"3","null.mean",0.545673384759358,0.606777,0.515919301438485,0.117523892920588,0.0558325,0.160058537502686
"4","null.sd",0.0154889189838098,0.234293086798398,0.0378101265092765,0.02752468070834,0.198599343598929,0.0461892710786842
"5","zscore",16.0647975575994,1.53322065498715,7.18068838366945,-3.74407735215582,4.29466424482482,-1.53044872792976
"6","pvalue",0.0000000000000000000000000000000000000000000000000000000002251661124265,0.0626107483584515,0.000000000000346806416420543,0.0000905289359873346,0.00000874789577969485,0.0629528477053182
