"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","ncoef"
"1","LP","5","fc.LP_rm.5",0.54067299270073,0.723,0.0768297705322258,0.0594609549607385,0.554549286311313,0.111904501269415,0.15625,0.273675446468988,0.0615325077399381,0.0595707122087426,0,0,4
"2","LP","5","fc.LP_rm.5",0.536178832116788,0.379,0.196237325259588,0.0908781535701393,0.389247882655639,0.155524906796739,-0.49475,0.212424692538321,0.0552832244008715,0.0704469692443842,0,0,3
"3","LP","5","fc.LP_rm.5",0.565407299270073,0.704,0.122053447347913,0.0282983278076993,0.692688641296707,0.0264021514351411,0.2345,0.381783097233669,0.00657894736842105,0.0131578947368421,0,0,4
"4","LP","5","fc.LP_rm.5",0.526355109489051,0.46,0.0594262143609462,0.0300358179101639,0.522618784738911,0.0665928968200452,0.03275,0.324164952866078,0,0,0,0,2
"5","LP","5","fc.LP_rm.5",0.53946204379562,0.271,0.061697268562922,0.0239276574211536,0.513330932546531,0.0728469194178136,0.0275,0.177622258364955,0.0131578947368421,0.0263157894736842,0,0,4
"6","LP","5","fc.LP_rm.5",0.524958394160584,0.736,0.212175094574093,0.0477338519709577,0.326488751703373,0.0441642472466489,-0.30225,0.278485636972538,0.078832702671712,0.0608485767191986,0.00925925925925926,0.0185185185185185,2
"7","LP","5","fc.LP_rm.5",0.514121897810219,0.088,0.13217489533149,0.0484189093374347,0.621689695402814,0.113143445486064,0.2025,0.31963051585646,0.0131578947368421,0.0263157894736842,0,0,2
"8","LP","5","fc.LP_rm.5",0.538081751824818,0.887,0.274433950347521,0.0364650104090722,0.269879449657602,0.0246272154005822,-0.22325,0.278495212406485,0.0951152390780874,0.049393261450682,0,0,4
"9","LP","5","fc.LP_rm.5",0.567011678832117,0.781,0.0490720120402535,0.0241870170127654,0.518466836081013,0.0433560772540787,-0.15975,0.211958132658315,0,0,0,0,4
"10","LP","5","fc.LP_rm.5",0.513851459854015,0.362,0.0591123938332755,0.0546890631219663,0.51606191650158,0.081512748935917,-0.021,0.376465137828193,0.00735294117647059,0.0147058823529412,0,0,1
"11","LP","5","fc.LP_rm.5",0.533866788321168,0.569,0.176710179047152,0.078556925083562,0.368888944634949,0.0778591981930109,-0.358,0.0989242134161298,0.0750487329434698,0.0670038099114901,0,0,3
"12","LP","5","fc.LP_rm.5",0.554516058394161,0.433,0.0859825529502013,0.0586561977483646,0.516194801434491,0.109272802225237,-0.09725,0.36420724411613,0.0231911478041509,0.0161038033325921,0,0,4
"13","LP","5","fc.LP_rm.5",0.506742700729927,0.432,0.128056344233534,0.0689048570760387,0.47672371942387,0.14829736083615,-0.00224999999999997,0.658528852822714,0.0487329434697856,0.0436751588740898,0,0,4
"14","LP","5","fc.LP_rm.5",0.523104379562044,0.571,0.104619495739921,0.0589357849136085,0.576590840718864,0.122373440255597,0.0805,0.44716402657936,0,0,0,0,3
"15","LP","5","fc.LP_rm.5",0.534857664233577,0.484,0.0894918146939674,0.0301109873108174,0.531119640356217,0.109544463264085,-0.09175,0.285815062584182,0.0158382066276803,0.0188048551477337,0.00657894736842105,0.0131578947368421,4
